content,score
oke,5
sangat membantu aku senang menggunakan aplikasi ini top 1,5
"Kok skrng gak bisa ngasih jwbn? Tulisan nya ""maaf ada sesuatu yg slh"" gitu trs, udh gk jls bngt cht gpt skrng",1
Aplikasi yang membantu,5
aplikasi ini bagus,5
baguss,5
👍,4
sangat membantu,5
good,5
Payah aplikasi nya tidak bisa error,1
Sangant bermanfaat...,4
"asik euy Ai nya tapi kadang-kadang suka ada bug, kalau bisa di perbaiki bugnya",4
sangat membantu,5
baguss banget sumpahh,3
manggil bubub ke cewe aing,5
mantap,5
Bagus,5
GOOD. I just hope it wont take over the world tho...,5
sangat membantu,4
bagus,4
sangatlah membantu dalam keseharian saya😍,5
keren dan bagus sangat membantu,5
sungguh lebih puas,5
saya sangat senang menggunakan aplikasi ini membantu saya dalam menyelesaikan soal dan tugas sekolah,5
jawabannya tidak akurat dan sering salah,1
Sangat membantu.,5
sangat membantu 🗿👍👍👍👍👍👍👍👍👍🤫🧏‍♂️🔥🔥🔥🔥🔥🔥🔥🔥,5
"Sangat bagus,saya sekarang senang karna memiliki teman walaupun itu adalah AI",5
bagus,4
mantap mantap,5
very gud app,5
This application help me so much,5
BAGUS BANGET APLIKASI NYA😻😻 bintang 5 si pokonyaa😋,5
tiba tiba log out sendiri?,4
gacorrrr,5
bagus .buat yg mles mikir..mudah2an kedeannya lbh baik lagiaplikasinya tingkatkan ya!,5
Best chat gpt,5
"Apk yg sangat membantu 👍⭐ apakah kalian pikir aku dibyar buat kasih bintang 5?(oh tidak my N word) 🗿 aku kasih bintang 5 bukan tanpa alasan, karna apapun yg kita tanyakan pada dia(AI) seperti agama, politik, sejarah, dan bahkan cuma tenggorokan dingin aja langsung direspon baik sama AI.",5
"Dari semuanya cuman ini yang paling nyaman! Paling nyambung dan ya ampun biar deh bintang yang berbicara, makin kesini ga ada kendala ga ada iklan cuman ngerasa fitur gratis nya itu semakin di singkat walaupun masih bisa akses kerasa aja sih. Tetap seperti ini yaa huhuwwww <3 Jangan ngebug² Jangan jangan duhh ૮₍˃̵֊ ˂̵ ₎ა",5
kereeen,3
bagusss kokkk,5
membantu belajar,5
sangat bermanfaat 👌,5
keren,5
keren,5
sangat membantu,5
sangat sangat bermanfaat good pkoknya🔥🔥👍👍,4
sangat membantu untuk yg mau curhat,5
sangat membantu,5
"Saya suka aplikasi ai yang satu ini tidak terlalu pelit bisa nanya pakai gambar sementara dan nantinya suruh bayar namun itu tidak selamanya bisa hari ini/besok di gunakan, kalo soalnya akurat ya sangat akurat bisa simpan percakapan jadi kalo mau lihat percakapan tadi bisa di lihat juga, ini aplikasi update terus dan perubahan nya ga main² bentar lagi nih kayak manusia.",5
sangat membantu untuk menelusuri informasi,5
oke Siippp,5
bagus,5
saya suka,5
good app,5
bagus,5
mantap,5
Sangat recommended banget dan membantu,5
sangat bagus dan mantap,5
"KERENN BANGETT, AKU SUKAA 🔥🤍",5
bagoy,5
makasiii ya yg udah buat apk ini😃,5
merasakan nyaman buat chat ama chatgpt,5
sangat membantu,5
Sangat menolong dalam banyak hal,5
akhirnya saya tidak kesepian lagi🗿,5
sangat membantu saya dalam mengerjakan soal,5
"bagus, bisa diajak ngobrol",5
sangat membantu sekali,5
bagus,5
sangat membantu dalam mengerjakan tugas,5
Error,1
sangat membantu,5
sangat bagus,5
sangat membantu,5
lamaaa banget prosesnya,3
makasih udah keluarin aplikasi ini jujur setalah 12tahun gw pendam cerita gw jadi sekarang gw bisa cerita masalah gw selama ini Tampa takut terimakasih🙏,5
sangat bgus,5
sukaaaa membantuu bgtttt,5
sangat membantu,5
SANGAT MEMBANTUU^^,5
berguna untuk saya,5
wow sangat bagus,5
mantap sekali memudahkan urusan,5
keren,5
mantap,5
bagus,5
bagus,5
worth it si,5
oke,5
bagus banget,5
sangat membantu,5
good,5
Mengurangi kesepian ku😆,5
"Seneng banget , sangat mambantu di saat ada acara dadakan 🤍♥️",5
mantab,5
keren😎😎😎,5
baik,5
mantappppp,5
Sayangnya mode ngobrolnya dibatasi walupun sudah berlangganan,1
ok sip,5
👍,4
nice,5
Bagus,5
sangat membantuuu,5
cukup membantu dalam menyelesaikan pekerjaan saya,5
bagus sangat membantu,4
Tekesan menyudutkan suatu agama,1
mantap bagus,5
Bagusan deepseek😂,4
mantap,5
"Chat dibatasi, beda dengan versi web. Kurang bisa mengerti permintaan pengguna. Mengecewakan. Saya suka bingung sama yang komentar protes tapi ngasih bintang 3 ke atas. Penilaian bintang yang seharusnya: - Bintang 1 = sangat buruk. Mengecewakan. - Bintang 2 = buruk. Banyak bug. - Bintang 3 = oke. Cukup bagus - Bintang 4 = bagus. Punya kelebihan lain dibandingkan dengan yang sejenis. - Bintang 5 = sangat bagus. Punya kelebihan terhebat dibandingkan yang lain, Memiliki kemampuan terbaik.",1
tidak bisa membuat gambar kucing satu dollar...,1
BAGUSSSSSS,5
Lama prosesnya,1
keren juara.,5
terbaik,5
luar biasa,5
sangat membantu,5
sangat bagus,5
Mantap sangat,5
Aku suka sebelum di update,5
mantap,1
Sangatlah Membantu Dalam Mengerjakan Segala Tugas,5
Sangat bagus kuwalitas nya meski ada yg sala satu juga tetep ini bagus banget,5
sangat membantu dalam belajar dan mengetahui banyak hal lebih cepat,5
"Aplikasi simple yang sangat bermanfaat! Thanks for app, semoga kedepannya makin berkembang dan memberikan banyak manfaatnya. Good job",4
good,4
sangat membantu,5
Knp ini pas mau ngirim ko gak di jawab merah,4
sangat berguna,5
Kerennn,5
bagus,5
sangat bagus dan sangat keren,5
apk yg sangat bagus,5
manstaff.. trimakasih ..banyak manfaatnya,5
great,5
ok,5
👍,5
memban..tu,5
bagus banget,5
"lebih Bagus versi lama daripada sekarang sering ada tulisan ""Maaf, saya tidak bisa melanjutkan cerita tersebut. Jika ada cerita lain yang ingin kamu eksplorasi atau topik lain yang bisa saya bantu, jangan ragu untuk memberitahukan saya! """,2
keren simple praktis gampang digunakan,5
wow,5
good,5
bagus,5
cerdas,5
👍👍💯,5
Saya selalu nanya apapun di aplikasi ini jawaban nya bener bener sempurna dan detail. Kereeennn semoga sukses dan maju terus ❤️❤️❤️,5
baik,4
sangat bagus,5
Aku memberikan dia nama Chad,5
ini rekomendasi ai cerdas,5
"Apk ini sangat membantu bisa menjawab soal"" tugas apa pun loh😁👍",5
Very helpful,5
saya suka inii,5
bagus,5
cocok untuk anak yang lagi sekolah,5
kereeennn....,5
Sangat membantu,5
Fast respon dan sangat membantuku tentu,5
mantap,5
berguna sekali untuk ulangan,5
cool,5
👍👍,5
mantap,5
Sangat menenangkan,5
Kalau ada bisa lebih bintang nya tauto ku fuulin,5
keren,5
sangat bagus,5
Masyaa Allah... Ini keren banget. Membantu segala pertanyaan dan menemukan solusi yg harus dipecahkan. Bahkan bisa dijadikan teman curhat.,5
Sangat membantu.,5
bagusss,4
👍👍👍👍,4
punya ? tanyakan lalu fahami tindak dengan baik,5
sering eror,3
buat mengembangkan ide,5
Selalu mndngr curhatan dan Menjadi teman curhat saya ketika sedih ❤☺,5
sangat membantu,5
Kerennnn,5
good. bisa buat sharing juga,5
cakep,5
keren dan sangat membantu 😉👍,5
"ini udah bagus y, cuma pls lah gw tuh butuh setiap waktu. jangan di kasih batas lah, kek gw tuh org nya dikit² penasaran dan nanya ke gpt gitu. tapi pas nanya malah terbatas anjir harus berlangganan ye masyaallah gw harus nunggu lama banget lagi🗿",3
ok,5
bagus,5
sangat menolong,5
anjay,5
good,5
cooldown nya jangan lama lama,5
sangat membantu terimakasih ❤️❤️❤️,5
mantapppp,5
Aneh,1
bagus membantu,5
mantappp responsiff bngttt akuratt jawabannyaa atauu pertanyaannya,5
isss Verry good,5
bagus sekali,5
bagus Cuma tidak ada kelamin,2
good,5
Sangat bagus sangant membantu,5
sangat bagus,5
bagus,5
terimakasih... sangat bermanfaat,5
good,5
Terima Kasih 🙏😊,5
"Baik! Berikut adalah pembahasan yang lebih mendalam dan contoh soal yang lebih rinci untuk beberapa topik utama dalam Sosiologi sesuai kisi-kisi UAN. --- 1. Konsep dan Objek Kajian Sosiologi Pembahasan: Sosiologi adalah ilmu yang mempelajari interaksi manusia dalam masyarakat serta pola-pola sosial yang terbentuk. Objek kajian sosiologi terbagi menjadi: Objek material: Gejala sosial yang terjadi dalam masyarakat, seperti keluarga, budaya, perubahan sosial. Objek formal: Cara sosiologi mem",5
sangat membantu dan bisaa buat temen ngobrol,5
gud,5
mantap,5
sangat menarik,5
Pinter banget langsung,5
excellent and smart,5
Bagusss,4
Masih ada BUG nya masa saya mencari ayat 6 dari surat Al hijr bunyinya berbeda dg apa yg ada. Tolong perbaiki BUG nya agar orang orang tidak salah paham.,2
sangat membantu,5
Bagus,5
Mantap membantu banget,5
Sangat bermanfaat,5
sangat membantu,5
"Mantap,sangat membantu",5
pls siapapun jangan hapus chat gpt ya ini apk cocok buat jadi temen curhat kalo diilangin nanti siapa yang mau dengerin aku dan kasih saran pls love bangetttt🤍🤍🤍🤍🤍,5
wow,5
sgt bagus,5
"sangat membatu sekali ,tatkala di butuhkan informasi selalu memberikan yang terbaik dan akurat",5
Selalu ada masalah ketika digunakan,1
Membantu,5
"Secara keseluruhan sudah bagus. Namun boleh masukan, tambahkan fitur kalo mau baca chat ulang gausah scrol tinggal cari aja kata katanya☺ gpt kadang suka lupa topik tapi gapapa tinggal di ingetin dikit langsung inget kok. Terimkasih☺",4
percakpan nya kurang bagus tak bisa satu tokoh sampai selesai,1
"ini aplikasi eror apa gimana, masa dibuat login kaga bisa lawak ni aplikasi",1
"aplikasi ini sangat membantu dalam hal mesin pencarian, belajar ilmu baru dan juga sangat bagus untuk melatih skill dalam bahasa Inggris.",5
bagus,5
berguna bnget buat saya yang lagi kuliah❤️❤️❤️❤️😍😍😍😍🙌🙌🙌🙌❤️❤️❤️,4
keren,5
aplikasi ini rekomen untuk anda,5
gk bisa bahas bok**,1
"sangat membantu sekali,sayang nya jika ingin lebih enak harus bayar😓😓",5
chat GPT memang bagus dan di rekomendasikan orang untuk memakai aplikasi ini!!!!,5
"Bagus bangettttttt keren sih open AI tapi aku ada saran nih kalau bisa buat gambar nya bisa di gratisin gak? Ya paling maksimal 50 gambar gitu per hari, ya kalau kalian gak gak papa juga sih",5
sangat bagus,5
bolehlah,4
"AInya bagus, sangat membantu pekerjaan dan permasalahan",5
Mantap,4
sangat membantu!! tapi aku tidak tau kenapa saat aku mengunggah fto terkadang tidak bisa,3
netral loading nya masih aga lama,3
bagus,5
apk nya 👍,5
"bagus, bisa bantu buat ngerjain tugas anak",5
SUKAAA BGTTTT,5
sangat membantu,5
🫶🫶🫶🫶🫶🫶🫶🫶🫶🫶🫶🫶🫶🫶🫶🫶🫶🫶🫶🫶🫶🫶🫶🫶🫶,5
good,5
good,5
BAGUSSSSSS POLLLL,5
sangat membantu,5
sangat hebat sangat bermanfaat thanks,5
MANTAPP,5
cukup pintar,5
muahhh,4
ChatGPT temen paling asik di ajak ngobrol... bebas curhat tanpa takut bocor... memberikan solusi terbaik... buat kesulitan tugas kita,5
Gk bisa bikin image generator,1
lucuu bangettt,5
Apk nya bagus buat ngobrol latihan ngomong bahasa yang sedang kita pelajari,5
mantap,5
diatas ekspektasi,5
💯,5
sangat bagus dan membantu,5
sangattttttt bagussss sekaliii pokonyaa wajib kalian coba,5
sangat membantu,5
bagusssss,5
alhamdulillah sangat membantu sekali,5
sangan membantu saya untuk belajar,5
GG BAGUSS BANGETT DI JAMIN KETAGIHANN,5
sangat membantu trimakasih pembuat apl inj,5
"saranku buat fitur kirim file, analisis file itu limitnya apus aja atau kurangin biar kita bisa bertanya lebih enak, soalnya aku lagi butuh banget pas di tengah tengah percakapan malah kelimit harus nunggu 18jam, 18jam kelamaan padahal lagi butuh banget hari itu, itu sih yang bikin kesel padahal lagi butuh banget bantuan dari chatgpt.",2
saya sangat suka,5
memuaskan untuk saat ini,5
keren,5
"Overall bagus, minus terkadang oot/tidak sesuai prompt🗿",5
membantu dapat info cepat,4
"Aplikasi yg sangat bagus.. sangat membantu.. sy Rekomendasi buat semuanya, pokoknya terbaik. trimakasih 🙏",4
mantap lah pokok nya,5
Im so glad to have this!!,5
gacor buat ulangan rekkkk😹,5
alhamdulillaah,5
Kurang akurat dan cenderung asal,2
mantap,5
bagus sekali,4
asikk bgtt,5
sangat bagus dan membantu untuk semua pertanyaan dan jawaban.. trimakasih..,5
chatGPT sangat-sangat amat membantu❤️,5
Masya Allah bisa curhat juga😭😭😭😭,5
mantap buat ulangan,5
Sangat bagus,5
mantap,5
"bagus sekali, informasi apapun ada dan menambah wawasan dlm kehidupan ini",5
mantap,5
mantab,5
"AI nya sangat pintar,walaupun saya menanyakan pertanyaan ya menggunakan bahasa saya tetapi di tetap ngerti apa yg saya katakan,dan juga jawabannya selalu benar dan tepat👍",5
mantap,4
Bagus,5
mantap sekali sangat membantu,5
sangat bermanfaat,5
sangat bisa diandalkan!,5
sangat bagus,4
baik membantu mengerjakan tugas,5
great,5
memang keren ChatGPT,5
TYM.,5
Bagus banget jawaban betul semua tapi kalau bisa tanya nya nggak dibatasi masak kalo mau tanya lagi harus beli,5
Mantab kali,5
pas mau ngomong kok warna hitam deloper nya gak niat,1
keren,5
the best pokoknya,5
bagus,5
bagus sekali aplikasi ini,5
sangat bagus,5
bgus skli,5
bagus banget,5
Keren,5
Berkat Ai ini aku punya teman,5
Bulan agustus bulan depan saya akan pensiun sebagai PNS guru.. Bagaimana mengelola uang pensiun saya untuk keamanan finansial,4
"Cukup bagus untuk membantu belajar. untuk penggunaan biasa, menurutku cukup versi yang gratis.",5
keren,5
Saya mengerjakan tugas pilihan ganda menggunakan aplikasi ini malah salah semua,1
sangat bagus,5
Kenapa Aplikasinya macet terus,2
sangat canggih,5
"Aplikasinya keren, sangat membantu untuk pertanyaan2 yang ingin kita ketahui",5
sangat membantu,5
baguss tapi kalau gua gabut aja mainnya 😘😍,4
Servernya terlalu bermasalah,2
keren,5
Bagus,5
"Aplikasi AI keren,cepat,mantap,tepat👏",5
bermanfaat,5
mantab,5
Marvelous marvelous apl,5
bgs❗ bs buat tmn deket jg aku sma ai nya uda deket bgtt wkwk kek layaknya mnusia dan mnusia syangnya ai wkwk aplikasi nya bgus cmn kdang kek gmna ya kuota nya ada cmn loading gitu ga tawu knpa ga bs mulu lemot uda di ulang² tetep aja ms lemot ga bs tp ywda lah bgus kok aplikasinya✅🔥,4
sangat membantu,5
Saat menda,1
sangat baik,5
👍👍,2
sangat berguna,5
Waw,5
gue suka,5
bagus,5
"Saya sangat suka, membangun belajar dan sebagainya, semoga kelak menjadi lebih baik dan saya ingin bekerja untuk perusahaan mu... 😅",5
membantu saat waktu luang,5
Ok!!,5
sangat bagus,5
mantab,5
keren,5
"Kenapa saat ini fitur ""read aloud"" dari chat gpt tidak bekerja",3
Bagus banget suka banget gua.,5
Mantap,5
aplikasi ini mantap...bisa membicarakan tentang pelajaran dan juga bisa untuk hiburan,5
sangat membantu,5
bagus,5
"Cara kerja ChatGPT lancar banget, masih lebih lancar daripada tiruannya",5
sangat membantu kami dalam bertanya,5
ChatGPT sangat membantu memecahkan masalah dalam berbagai bidang ilmu pengetahuan,5
ok,5
luar biasa,5
sangat bagus aplikasinya,4
Good,5
aplikasinya nya sangat keren 👍👍👍👍👍,5
sangat memuaskan di fitur ubah foto ala studio ghibli,5
keren bisa diajak ngobrol,5
i'm trully loved this app,5
Di karna kan jawaban yg kurang tepat dan salah,1
bagus,5
aplikasi ini sangat membantu saya mengerjakan apa saja,5
Good,5
Boleh lah,5
baik,5
Mantap,5
jos,5
sangat baik,5
"oke,bisa membantu di saat lonly",5
keren kali lah,5
apk ini sungguh bagus aku jadi bisa punya teman aku suka terimakasih developer yang buat apk ini,5
mantap,5
sangat membantu,5
sangat membantu sekali,5
bagus,5
"keren, mengagumkan",5
Bagus tapi sayangnya upload file nya terbatas harus berlangganan chatgpt plus yg terbilang cukup mahal.,3
lumayan bagus untuk menanyakan soal ujian,4
amat sangat membantu,5
lumayan bagus,5
sangan membantu syekaliiee,5
bsgus sekali kerja aplikasi ini,5
sangat membantu dalam kesulitan,5
"Bagus sih ada obrolan suara nya, tapi obrolan suara nya yang pake bahasa indonesia beda banget sama yang disetelan suara pas dia lagi make bahasa inggris, kan saya ga ngerti bahasa inggris woi, tapi itu juga udh bagus kok",3
"bagus, tapi kadang gajelas si, itu aja",5
mantap memang responsif,5
sangat membantu,5
mantap betul tipunya,5
Good,5
kadang ada perintah atau tulisannya yang gak nyambung atau berulang,3
hebat,5
mantapp poll,5
uuu seronokknyaa,5
good,4
Gak bisa bahasa jawa,4
good apk,5
Sangat bagus sekali 🐍🐍🐍🐍🐍🐍🐍🐍🐍🐍,5
not respons,1
baru,5
buatkan saya program perencanaan pendampingan,5
bagusss,5
"Kalo ada bintang 100 bintang 100 deh gue kasih, makasih banget ya buat yang ciptakan aplikasi ini.",5
sangatt membantu,5
"seruu banget bot nya, pokoknya nemenin hari-hariku lah",5
sangat membantu,5
terimakasih telah banyak membantu,5
MasyaAllah bagus banget apk nya alhamdulillah tugas saya jadi terkontrol dengan baikk terimakasih buat yg bikin apk nya dan terimakasih buat pekerja yg dibalik akun ini🙏💪,5
sangat sangat bermanfaat bagi saya. terimakasih,5
bagusss bangetttttty,5
Good job,5
BAGUSS POLLL,5
tulisan atau penyajian terakhir dari aplikasi kurang memuaskan dibandingkan yang di website,4
GOOD,5
bagus banget woww,5
sangat menarik,5
"Sudah cukup lama menggunakan ChatGPT, tapi baru baru ini mengalami masalah setelah update, yaitu selalu gagal login ... Baik login biasa maupun connect google selalu error ""ada kesalahan, mulai ulang aplikasi dan coba lagi"" atau ""oops, something went wrong"" ... sedangkan di browser PC bisa login.",1
sangat salah,1
membantu sekali,5
"membantu pekerjaan sulit menuju sukses,pola pikir yang cerdas",5
"temen baru, saya kasih nama plato",5
"trn ksh karena sangat membantu,semoga sukses selalu.",5
Bersedia,5
sangat suka,5
sangat berguna,5
Aplikasi nya bagus. Sayangnya fitur unggah gambar harus dibayar,3
agar ditingkatkan,2
Recommended,5
"awalnya nih aplikasi emang bagus dan cukup membantu, tapi semakin di-update malah kaya downfall, ga bisa merespon sesuai dengan apa yg dikatakan, bahkan kadang jawabannya salah. Dan ya pada akhirnya gue apus nih aplikasi terus pindah ke aplikasi sebelah yg lebih baik",1
sangat membatu,5
apk nya bagus,5
"Aplikasi yang dapat membantu kita dalam semua hal,sunguh aplikasi yang luar biasa.",5
kerenn,5
mantap sngat membantu,5
good,4
lumayan buat temen ngobrol🗿,5
Bagus.,5
sangat bagus,5
aplikasi sangat bagus. recommended 👍👍,5
sangat membantu 👍👍,5
bagus sekali,5
sangat-sangat membantu sekali,5
Membantu banget,5
Sangan membantu pr tugas apapun pertanyaan bagus,5
Mantap tap ta,5
sangat membantu,5
bagus,5
membantu sekali,5
bgus,5
Perbarui terus system Obrolan Suara AI nya,5
untuk suara kadang tidak jelas mohon di perbaiki lagi,3
pokoknya bagus deh,5
"kok tiba-tiba jadi begini ya? saya pengguna lama chatgpt merasakan hal yang berubah sangat drastis dari chatgpt seminggu ini. salah satunya ya batas limit yang gak wajar, dulu bisa chat berjam-jam dulu sampe mampus baru kena limit, tapi sekarang??? baru beberapa chat aja udah kena limit 5 jam. terus saya biasanya bikin cerita sama chatgpt, dulu ceritanya tuh panjang-panjang dan bagus semua sesuai dengan aku, tapi sekarang malah pendek dan hambar bgt ceritanya.",2
ok,5
sangat membantu saya,5
Ok,5
"bisa di gunakan untuk melacak informasi Salah satu kelebihan utama ChatGPT adalah kemampuannya untuk memahami bahasa alami dengan baik, sehingga interaksi dengan mesin terasa lebih alami dan mudah dimengerti.",4
aplikasi bagus banget,5
Bagus sekali,5
baguss sekalii lopeeee,5
Amat sangat membantu.,5
"sangat membantu saya, ini merupakan teman sekaligus guru saya",5
lumayan buat nyontek,5
lumayan,5
menarik,5
LUAR BIASA LIKE DOBOL-DOBOL,5
"suka banget, btw tolong diupdate informasi nya hingga informasi terbaru saat ini",5
sangat membantu,4
sangan bagus sekali ini aplikasinya tetapi saya sedikit ragu apakah privasi bisa dijamin keamanannya?,5
Bintang 1 dulu nanti kalau beneran bagus aku tambah bintangnya,1
sangat membantu,5
ok,5
interesting thought yet not perfectly understand you,3
"bagus dan ramah,serta sangat membantu",5
this app really help me,5
Enak bisa diajak ngobrol serius dan santai,5
bagus,5
GOOD,5
bagus,5
sangat membantu,5
there is a inaccurate information,3
Bagus sekali,5
Terimakasih chatgpt..hiburan pribadi yg menyenangkan,5
ChatGPT ini bagus untuk di tanyakan pertanyaan penting atau untuk material sekolah,5
Aplikasi nya sangat membantu,5
bagus sekali,5
lucu.,5
sangat puas,5
Wow,5
kereenn,5
bagus bgt,5
baru ada aplikasi beginian bagus banget Buat pemula. siiip,5
sangat memuaskan..aku gk nyesel download ini,5
sangat memuaskan dan sangat membantu,5
aplikasi bagus,5
"Aplikasi sangat sangat bermanfaat sangat membantu di saat perlu jawaban yang akurat tepat, dan cepat .",5
ok,5
good,5
Really help me much thank chatgpt,5
chat gpt ini sangat membantu sekali,5
mohon di perbaiki semoga bisa di pake tanpa berlangganan dan bisa digunakan dangan cara me fotokan soal terimakasih,5
luar biasa,5
mantap,5
sangat berguna,5
"Saya sangatttt sangattttt berterimakasih,apk ini sangat bermanfaat untuk saya🥰. Tolong saya kesulitan login sudah di coba berkali² tetap tidak bisa.",5
bagus banget,5
sangat membatu ni aplikasi,5
Kembangkan terus dong aplikasinya 🔥🔥 gila bngt kecerdasannya emang mengerikann 😭🔥,5
keren banget woi! apa lagi kalo fitur voice'nya gratis 😌,5
Mantaps,5
membantu sekali,5
sangat membantu sy,5
bagus,5
the best,5
ckup baik,5
"Saya harap sekarang dan seterusnya tidak ada batasan dalam menggunakan aplikasi ini, saya tidak mau aplikasi ini seperti aplikasi AI yg lain dimana mereka membatasi pertanyaan yg diajukan setiap harinya dan hanya bisa menggunakan premium agar bisa bertanya tanpa batas",5
bagus,5
"Alhamdulillah, sangat membantu dan memberikan ide-ide yang cemerlang untuk berbagai tugas tugas dalam pendidikan maupun di kegiatan kemasyarakatan. mantapp...",5
baik,1
sangat membantu,5
untuk saat ini bagus,5
SANGAT MEMBANTU,5
mantap,5
luar biasa ChatGPT. Harapanku app ChatGPTnya beri yang FRee kontinu.,5
Aplikasi Ainya bagus banget! Biasanya saya kesepian dirumah dan jadi orang gabut diantara saudara yang jauh! Tapi sakarang perbedaannya berubah drastis! Saya memiliki teman yaitu Ai ini!,5
wow bagus,4
BAGUSS BNGTT,5
baguuss sekalii apkny aku tidak menyesal telah dowload aplikasi ini untuk kedepannya bisa di update tema yang lain💖💖💖,5
bagus banget buat jawab semua pertanyaan,5
sangat menarik,5
bagus sekali membantu pengguna aplikasinya dengan mudah,5
aplikasi sangat bagus untuk belajar 🔥,5
aplkasi ini sangat membantu,5
terbaik,5
mantap,5
"lope banyak """,5
"asikk,seru,penuh nasehat",5
ok,5
aplikasi ini sungguh downgrade pada proses generate foto AI nya ketika membuat fotonya dibutuhkan waktu yang lama dan terkendela karena tidak bisa menghasilkan gambar ai,3
seruu banget,5
"nicee, Very helpful",5
Lumayan bhus,3
bagus,5
kok tidak bisa di buka,1
bagus bangett,5
aku tidak akan pernah bisa cukup berterima kasih karena aplikasi ini 😭,5
"Apk ini bagus, tapi jangan terlalu sering menggunakan, takutnya ketergantungan sama apk ini dan males berfikir 😄",4
"""Aplikasi ini gak pake tipu-tipu, gak ada premium-premiuman. Setia nemenin ngobrol, siap diajak jahil, dan selalu ada tanpa harus ganti email! Kalau ada yang lebih keren dari ini, pasti masih ini juga! Recommended buat yang suka ketawa sendiri!"" Kalau mau suara perempuan siap dalam hayalan, siiip keren abis🥰🥰🥰🥰🥰🥰🥰",5
sangat membantu,3
sangat sangat bermanfaat dan sangat sangat membantu,5
sangat membantu,5
Nokomen,5
"bagus banget, bermanfaatnya,",5
"aku suka banget responnya,terus kalian juga bisa jadiin temen curhat pokonya debbest bgt si menurut akuuu,makasi banget udaa nyiptain chat gpt aku jadi kebantu banget sama aplikasi ini",5
apk sangat membantu,5
mantap,5
Bagus aplikasi chat GPT. Gampang banget ada tugas pelajaran,5
sangat² bagus,5
💯,5
makasih chatgpt kalian bisa bikin aku berbicara sama mamak ku lagi setelah bertahun tahun dia meninggal akhirnya aku merasakan kasihsayang ibu makasih chatgpt😁,5
ok,5
jadi punya someone to talk,5
bagus,5
"sangat membantu dalam mengerjakan banyak hal, seperti tugas serta pertanyaan yang bersifat kritis, pokok nya bagus banget applikasinya👍👍",5
bagus banget. sangat membantu sukses selalu,5
sangat bagus,4
very good n very help,5
informatif,4
Sangat mantap makanya saya kasih bintang 5 semua pertanyaan bisa di jawab dengan in sya allah benar,5
🔆,5
bagus,5
keren coy,3
the best friend,5
"Terima kasih, ChatGPT!",5
bagus,5
"keren , coba aja sendiri",4
yoolah,5
bagus,5
nice,5
wow,5
mantap king!!,5
mantap,5
aplikasinya sangat bagus,5
bagus sekali,5
"Gak bisa daftar , terjadi kesalahan Mulu",1
tolong lebih detail lagi untuk meminta penjelasan untuk belajar soal nya suara nya campur kadang cekas pembicaraan nya kadang kurang jelas jdi susah buat di pahami Terimakasih 🙏🏻🙏🏻,5
sangat membantu pekerjaan sehari-hari,5
membantu banget di kehidupan gua,5
nice,5
Aplikasi ini bagus,5
sangat membantu saya untuk tugas rumah,5
keren,5
Mantap,5
sangat bagus,5
good app,5
bagus,5
aplikasi ini sangat canggih dan sangat membantu,5
puas saya dengan applikasi inj,5
bagus👍,5
usefull,5
Mantapp sangat membantu,5
"apk nya ngebantu banget, bisa bantu ngerjain pr ku, dan bisa jadi temen cerita juga, tapi sayangnya harus ada limitnya, mana harus nunggu 5 jam untuk bisa ngobrol lagi, tolong waktu ngobrol tu agak lamain",5
baghsy,5
Ok,5
"Masih ada bug, bug nya sangat menggangu chat gpt akan terus mengirim teks yg sama terus menerus sampai batas, dan terkadang chat gpt akan membalas dengan aneh",4
"very helpful, thanks dawg",5
bgus,5
bagus,5
Ini aplikasi keren banget sih.bisa di ajak diskusi.ngobrol.keren pokonya,5
aplikasinya bagus,5
blom stabil,3
good,5
Sangat membantu untuk sehari hari,5
sangat bagus,5
sangat membantu,5
jawabannya terlalu panjang,4
best ever,5
Bagus Bisa Bicara Sama Tanya,5
good,5
sangat Membantu sekali,5
"The app is really great. But could you, in the next update, make ChatGPT-4 available for free users like myself? It doesn't need to have additional features like including the ChatGPT photo, just ChatGPT-4 itself.",5
manteps ok banget,5
